"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"7c688945",2020-04-14,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,-3,-2,1,2,4,2,0,0,0,0,2,-60.16,-85.65,-59.82,-62.5,3,"Brazil","Paraíba","São João do Rio do Peixe",-6.75320649,-38.4228577855099,18026,"BRA","BR",76,"BRL","2500700","ChIJ7zglcG5kpAcRfvuZxtt6010",NA,"BRPB2500700",NA,"BRA.15.181_1"
"7c688945",2020-04-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,-3,-2,1,2,4,2,0,0,0,0,2,-60.16,-85.65,-59.82,-62.5,3,"Brazil","Paraíba","São João do Rio do Peixe",-6.75320649,-38.4228577855099,18026,"BRA","BR",76,"BRL","2500700","ChIJ7zglcG5kpAcRfvuZxtt6010",NA,"BRPB2500700",NA,"BRA.15.181_1"
"7c688945",2020-04-16,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,-3,-2,1,2,4,2,0,0,0,0,2,-60.16,-85.65,-59.82,-62.5,3,"Brazil","Paraíba","São João do Rio do Peixe",-6.75320649,-38.4228577855099,18026,"BRA","BR",76,"BRL","2500700","ChIJ7zglcG5kpAcRfvuZxtt6010",NA,"BRPB2500700",NA,"BRA.15.181_1"
"7c688945",2020-04-17,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,-3,-2,1,2,4,2,0,0,0,0,2,-60.16,-85.65,-59.82,-62.5,3,"Brazil","Paraíba","São João do Rio do Peixe",-6.75320649,-38.4228577855099,18026,"BRA","BR",76,"BRL","2500700","ChIJ7zglcG5kpAcRfvuZxtt6010",NA,"BRPB2500700",NA,"BRA.15.181_1"
"7c688945",2020-04-18,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,-3,-2,1,2,4,2,0,0,0,0,2,-60.16,-85.65,-59.82,-62.5,3,"Brazil","Paraíba","São João do Rio do Peixe",-6.75320649,-38.4228577855099,18026,"BRA","BR",76,"BRL","2500700","ChIJ7zglcG5kpAcRfvuZxtt6010",NA,"BRPB2500700",NA,"BRA.15.181_1"
"7c688945",2020-04-19,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,-3,-2,1,2,4,2,0,0,0,0,2,-60.16,-85.65,-59.82,-62.5,3,"Brazil","Paraíba","São João do Rio do Peixe",-6.75320649,-38.4228577855099,18026,"BRA","BR",76,"BRL","2500700","ChIJ7zglcG5kpAcRfvuZxtt6010",NA,"BRPB2500700",NA,"BRA.15.181_1"
"7c688945",2020-04-20,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,-3,-2,1,2,4,2,0,0,0,0,2,-60.16,-85.65,-59.82,-62.5,3,"Brazil","Paraíba","São João do Rio do Peixe",-6.75320649,-38.4228577855099,18026,"BRA","BR",76,"BRL","2500700","ChIJ7zglcG5kpAcRfvuZxtt6010",NA,"BRPB2500700",NA,"BRA.15.181_1"
"7c688945",2020-04-21,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,-3,-2,1,2,4,2,0,0,0,0,2,-60.16,-85.65,-59.82,-62.5,3,"Brazil","Paraíba","São João do Rio do Peixe",-6.75320649,-38.4228577855099,18026,"BRA","BR",76,"BRL","2500700","ChIJ7zglcG5kpAcRfvuZxtt6010",NA,"BRPB2500700",NA,"BRA.15.181_1"
"7c688945",2020-04-22,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,-3,-2,1,2,4,2,0,0,0,0,2,-60.16,-85.65,-59.82,-62.5,3,"Brazil","Paraíba","São João do Rio do Peixe",-6.75320649,-38.4228577855099,18026,"BRA","BR",76,"BRL","2500700","ChIJ7zglcG5kpAcRfvuZxtt6010",NA,"BRPB2500700",NA,"BRA.15.181_1"
"7c688945",2020-04-23,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,-3,-2,1,2,4,2,0,0,0,0,2,-60.16,-85.65,-59.82,-62.5,3,"Brazil","Paraíba","São João do Rio do Peixe",-6.75320649,-38.4228577855099,18026,"BRA","BR",76,"BRL","2500700","ChIJ7zglcG5kpAcRfvuZxtt6010",NA,"BRPB2500700",NA,"BRA.15.181_1"
