"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"c6464034",2020-03-20,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,3,2,1,0,0,0,0,-46.61,-79.17,-53.27,0,3,"Brazil","Minas Gerais","Mariana",-20.33846474,-43.3032841854651,61288,"BRA","BR",76,"BRL","3140001","ChIJmU270AlwpAARR27iP3EWgtA",NA,"BRMG3140001",NA,"BRA.13.463_1"
"c6464034",2020-03-21,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,3,2,1,0,0,0,0,-46.61,-79.17,-53.27,0,3,"Brazil","Minas Gerais","Mariana",-20.33846474,-43.3032841854651,61288,"BRA","BR",76,"BRL","3140001","ChIJmU270AlwpAARR27iP3EWgtA",NA,"BRMG3140001",NA,"BRA.13.463_1"
"c6464034",2020-03-22,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,3,2,1,0,0,0,0,-46.61,-79.17,-53.27,0,3,"Brazil","Minas Gerais","Mariana",-20.33846474,-43.3032841854651,61288,"BRA","BR",76,"BRL","3140001","ChIJmU270AlwpAARR27iP3EWgtA",NA,"BRMG3140001",NA,"BRA.13.463_1"
"c6464034",2020-03-23,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,3,2,1,0,0,0,0,-46.61,-79.17,-53.27,0,3,"Brazil","Minas Gerais","Mariana",-20.33846474,-43.3032841854651,61288,"BRA","BR",76,"BRL","3140001","ChIJmU270AlwpAARR27iP3EWgtA",NA,"BRMG3140001",NA,"BRA.13.463_1"
"c6464034",2020-03-24,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,3,2,1,0,0,0,0,-46.61,-79.17,-53.27,0,3,"Brazil","Minas Gerais","Mariana",-20.33846474,-43.3032841854651,61288,"BRA","BR",76,"BRL","3140001","ChIJmU270AlwpAARR27iP3EWgtA",NA,"BRMG3140001",NA,"BRA.13.463_1"
"c6464034",2020-03-25,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,3,2,1,0,0,0,1,-48.7,-79.17,-55.65,0,3,"Brazil","Minas Gerais","Mariana",-20.33846474,-43.3032841854651,61288,"BRA","BR",76,"BRL","3140001","ChIJmU270AlwpAARR27iP3EWgtA",NA,"BRMG3140001",NA,"BRA.13.463_1"
"c6464034",2020-03-26,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,3,2,1,0,0,0,1,-48.7,-79.17,-55.65,0,3,"Brazil","Minas Gerais","Mariana",-20.33846474,-43.3032841854651,61288,"BRA","BR",76,"BRL","3140001","ChIJmU270AlwpAARR27iP3EWgtA",NA,"BRMG3140001",NA,"BRA.13.463_1"
"c6464034",2020-03-27,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,0,0,1,-50.26,-81.94,-57.44,0,3,"Brazil","Minas Gerais","Mariana",-20.33846474,-43.3032841854651,61288,"BRA","BR",76,"BRL","3140001","ChIJmU270AlwpAARR27iP3EWgtA",NA,"BRMG3140001",NA,"BRA.13.463_1"
"c6464034",2020-03-28,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,0,0,1,-50.26,-81.94,-57.44,0,3,"Brazil","Minas Gerais","Mariana",-20.33846474,-43.3032841854651,61288,"BRA","BR",76,"BRL","3140001","ChIJmU270AlwpAARR27iP3EWgtA",NA,"BRMG3140001",NA,"BRA.13.463_1"
"c6464034",2020-03-29,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,0,0,1,-50.26,-81.94,-57.44,0,3,"Brazil","Minas Gerais","Mariana",-20.33846474,-43.3032841854651,61288,"BRA","BR",76,"BRL","3140001","ChIJmU270AlwpAARR27iP3EWgtA",NA,"BRMG3140001",NA,"BRA.13.463_1"
"c6464034",2020-03-30,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,0,0,1,-50.26,-81.94,-57.44,0,3,"Brazil","Minas Gerais","Mariana",-20.33846474,-43.3032841854651,61288,"BRA","BR",76,"BRL","3140001","ChIJmU270AlwpAARR27iP3EWgtA",NA,"BRMG3140001",NA,"BRA.13.463_1"
"c6464034",2020-03-31,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,0,0,1,-50.26,-81.94,-57.44,0,3,"Brazil","Minas Gerais","Mariana",-20.33846474,-43.3032841854651,61288,"BRA","BR",76,"BRL","3140001","ChIJmU270AlwpAARR27iP3EWgtA",NA,"BRMG3140001",NA,"BRA.13.463_1"
"c6464034",2020-04-01,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,0,0,1,-58.07,-81.94,-57.44,-62.5,3,"Brazil","Minas Gerais","Mariana",-20.33846474,-43.3032841854651,61288,"BRA","BR",76,"BRL","3140001","ChIJmU270AlwpAARR27iP3EWgtA",NA,"BRMG3140001",NA,"BRA.13.463_1"
"c6464034",2020-04-02,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,0,0,1,-58.07,-81.94,-57.44,-62.5,3,"Brazil","Minas Gerais","Mariana",-20.33846474,-43.3032841854651,61288,"BRA","BR",76,"BRL","3140001","ChIJmU270AlwpAARR27iP3EWgtA",NA,"BRMG3140001",NA,"BRA.13.463_1"
"c6464034",2020-04-03,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,0,0,1,-58.07,-81.94,-57.44,-62.5,3,"Brazil","Minas Gerais","Mariana",-20.33846474,-43.3032841854651,61288,"BRA","BR",76,"BRL","3140001","ChIJmU270AlwpAARR27iP3EWgtA",NA,"BRMG3140001",NA,"BRA.13.463_1"
"c6464034",2020-04-04,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,0,0,1,-58.07,-81.94,-57.44,-62.5,3,"Brazil","Minas Gerais","Mariana",-20.33846474,-43.3032841854651,61288,"BRA","BR",76,"BRL","3140001","ChIJmU270AlwpAARR27iP3EWgtA",NA,"BRMG3140001",NA,"BRA.13.463_1"
