"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"e1b79cf8",2020-05-06,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,-2,4,2,2,0,4,0,1,-69.79,-82.41,-67.26,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-09,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-11,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-13,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-14,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-16,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-2,-2,4,2,2,1,4,0,1,-71.61,-80.09,-69.35,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-17,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-2,-2,4,2,2,1,4,0,1,-71.61,-80.09,-69.35,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-18,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-2,-2,4,2,2,1,4,0,1,-71.61,-80.09,-69.35,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-19,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-2,-2,4,2,2,1,4,0,1,-71.61,-80.09,-69.35,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-20,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-2,-2,4,2,2,1,4,0,1,-71.61,-80.09,-69.35,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-21,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-2,-2,4,2,2,1,4,0,1,-71.61,-80.09,-69.35,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-22,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-2,-2,4,2,2,1,4,0,1,-71.61,-80.09,-69.35,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-23,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-2,-2,4,2,2,1,4,0,1,-71.61,-80.09,-69.35,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-24,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-25,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-26,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-27,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-28,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-29,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-30,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-05-31,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-06-01,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-06-02,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-06-03,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-06-04,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-06-05,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-06-06,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-06-07,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-06-08,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-06-09,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-06-10,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
"e1b79cf8",2020-06-11,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Nova Rosalândia",-10.539900305,-48.9892631047944,4304,"BRA","BR",76,"BRL","1715002",NA,NA,"BRTO1715002",NA,"BRA.27.83_1"
