"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"730c63a6",2020-05-23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-2,-2,4,2,2,1,4,0,1,-71.61,-80.09,-69.35,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-05-24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-05-25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-05-26,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-05-27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-05-28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-05-29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-05-30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-05-31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-06-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-06-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-06-03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-06-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-06-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-06-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-06-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-06-08,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-06-09,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-06-10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-06-11,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-06-12,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-06-13,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-06-14,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-06-15,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,1,1,2,4,2,2,1,4,0,1,-73.44,-83.33,-71.43,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
"730c63a6",2020-06-16,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,1,1,2,4,2,2,1,4,0,1,-73.44,-83.33,-71.43,-87.5,3,"Brazil","Tocantins","Novo Alegre",-12.88844252,-46.5854584340746,2332,"BRA","BR",76,"BRL","1715150",NA,NA,"BRTO1715150",NA,"BRA.27.85_1"
