"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"438f1562",2020-04-17,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,2,0,1,-61.2,-81.94,-61.01,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-04-18,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,2,0,1,-61.2,-81.94,-61.01,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-04-19,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,2,0,1,-61.2,-81.94,-61.01,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-04-20,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,2,0,1,-61.2,-81.94,-61.01,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-04-21,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,2,0,1,-61.2,-81.94,-61.01,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-04-22,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,-3,0,1,-61.98,-81.94,-61.9,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-04-23,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,-3,0,1,-61.98,-81.94,-61.9,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-04-24,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,-3,0,1,-61.98,-81.94,-61.9,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-04-25,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,-3,0,1,-61.98,-81.94,-61.9,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-04-26,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,-3,0,1,-61.98,-81.94,-61.9,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-04-27,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,-3,0,1,-61.98,-81.94,-61.9,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-04-28,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,-3,0,1,-61.98,-81.94,-61.9,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-04-29,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,1,0,-3,0,1,-60.94,-80.09,-60.71,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-04-30,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,1,0,-3,0,1,-60.94,-80.09,-60.71,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-05-01,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,1,0,-3,0,1,-60.94,-80.09,-60.71,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-05-02,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,1,0,-3,0,1,-60.94,-80.09,-60.71,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-05-03,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,1,0,-3,0,1,-60.94,-80.09,-60.71,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-05-04,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,1,0,-3,0,1,-60.94,-80.09,-60.71,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-05-05,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,1,0,-3,0,1,-60.94,-80.09,-60.71,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
"438f1562",2020-05-06,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,2,0,-3,0,1,-63.02,-80.09,-63.1,-62.5,3,"Brazil","Minas Gerais","Itaguara",-16.906311035,-43.2948334490737,13435,"BRA","BR",76,"BRL","3132206","ChIJGbS2SX7doAARAOP7u3WE5ck",NA,"BRMG3132206",NA,"BRA.13.369_1"
