"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"377ce332",2020-03-23,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,3,2,1,0,0,0,0,-46.61,-79.17,-53.27,0,3,"Brazil","Minas Gerais","Bom Despacho",-19.70998478,-45.3047840786538,51028,"BRA","BR",76,"BRL","3107406","ChIJPbytfYMVs5QRf4rX_28352w",NA,"BRMG3107406",NA,"BRA.13.78_1"
"377ce332",2020-03-24,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,3,2,1,0,0,0,0,-46.61,-79.17,-53.27,0,3,"Brazil","Minas Gerais","Bom Despacho",-19.70998478,-45.3047840786538,51028,"BRA","BR",76,"BRL","3107406","ChIJPbytfYMVs5QRf4rX_28352w",NA,"BRMG3107406",NA,"BRA.13.78_1"
"377ce332",2020-03-25,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,3,2,1,0,0,0,1,-48.7,-79.17,-55.65,0,3,"Brazil","Minas Gerais","Bom Despacho",-19.70998478,-45.3047840786538,51028,"BRA","BR",76,"BRL","3107406","ChIJPbytfYMVs5QRf4rX_28352w",NA,"BRMG3107406",NA,"BRA.13.78_1"
"377ce332",2020-03-26,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,3,2,1,0,0,0,1,-48.7,-79.17,-55.65,0,3,"Brazil","Minas Gerais","Bom Despacho",-19.70998478,-45.3047840786538,51028,"BRA","BR",76,"BRL","3107406","ChIJPbytfYMVs5QRf4rX_28352w",NA,"BRMG3107406",NA,"BRA.13.78_1"
"377ce332",2020-03-27,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,0,0,1,-50.26,-81.94,-57.44,0,3,"Brazil","Minas Gerais","Bom Despacho",-19.70998478,-45.3047840786538,51028,"BRA","BR",76,"BRL","3107406","ChIJPbytfYMVs5QRf4rX_28352w",NA,"BRMG3107406",NA,"BRA.13.78_1"
"377ce332",2020-03-28,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,0,0,1,-50.26,-81.94,-57.44,0,3,"Brazil","Minas Gerais","Bom Despacho",-19.70998478,-45.3047840786538,51028,"BRA","BR",76,"BRL","3107406","ChIJPbytfYMVs5QRf4rX_28352w",NA,"BRMG3107406",NA,"BRA.13.78_1"
"377ce332",2020-03-29,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,0,0,1,-50.26,-81.94,-57.44,0,3,"Brazil","Minas Gerais","Bom Despacho",-19.70998478,-45.3047840786538,51028,"BRA","BR",76,"BRL","3107406","ChIJPbytfYMVs5QRf4rX_28352w",NA,"BRMG3107406",NA,"BRA.13.78_1"
"377ce332",2020-03-30,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,0,0,1,-50.26,-81.94,-57.44,0,3,"Brazil","Minas Gerais","Bom Despacho",-19.70998478,-45.3047840786538,51028,"BRA","BR",76,"BRL","3107406","ChIJPbytfYMVs5QRf4rX_28352w",NA,"BRMG3107406",NA,"BRA.13.78_1"
"377ce332",2020-03-31,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,0,0,1,-50.26,-81.94,-57.44,0,3,"Brazil","Minas Gerais","Bom Despacho",-19.70998478,-45.3047840786538,51028,"BRA","BR",76,"BRL","3107406","ChIJPbytfYMVs5QRf4rX_28352w",NA,"BRMG3107406",NA,"BRA.13.78_1"
"377ce332",2020-04-01,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,0,0,1,-58.07,-81.94,-57.44,-62.5,3,"Brazil","Minas Gerais","Bom Despacho",-19.70998478,-45.3047840786538,51028,"BRA","BR",76,"BRL","3107406","ChIJPbytfYMVs5QRf4rX_28352w",NA,"BRMG3107406",NA,"BRA.13.78_1"
