"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"3084078c",2020-05-28,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,-1,1,0,4,2,2,0,4,0,1,-58.33,-67.59,-57.74,-62.5,3,"Brazil","Mato Grosso","Porto Esperidião",-15.88765049,-58.8424785778744,12097,"BRA","BR",76,"BRL","5106828",NA,NA,"BRMT5106828",NA,"BRA.12.93_1"
"3084078c",2020-05-29,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,-1,1,0,4,2,2,0,4,0,1,-58.33,-67.59,-57.74,-62.5,3,"Brazil","Mato Grosso","Porto Esperidião",-15.88765049,-58.8424785778744,12097,"BRA","BR",76,"BRL","5106828",NA,NA,"BRMT5106828",NA,"BRA.12.93_1"
"3084078c",2020-05-30,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,-1,1,0,4,2,2,0,4,0,1,-58.33,-67.59,-57.74,-62.5,3,"Brazil","Mato Grosso","Porto Esperidião",-15.88765049,-58.8424785778744,12097,"BRA","BR",76,"BRL","5106828",NA,NA,"BRMT5106828",NA,"BRA.12.93_1"
"3084078c",2020-05-31,4,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,-1,1,0,4,2,2,0,4,0,1,-58.33,-67.59,-57.74,-62.5,3,"Brazil","Mato Grosso","Porto Esperidião",-15.88765049,-58.8424785778744,12097,"BRA","BR",76,"BRL","5106828",NA,NA,"BRMT5106828",NA,"BRA.12.93_1"
"3084078c",2020-06-01,4,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,-1,1,0,4,2,2,0,4,0,1,-58.33,-67.59,-57.74,-62.5,3,"Brazil","Mato Grosso","Porto Esperidião",-15.88765049,-58.8424785778744,12097,"BRA","BR",76,"BRL","5106828",NA,NA,"BRMT5106828",NA,"BRA.12.93_1"
"3084078c",2020-06-02,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,-1,1,1,4,2,2,0,4,0,1,-61.46,-73.15,-61.31,-62.5,3,"Brazil","Mato Grosso","Porto Esperidião",-15.88765049,-58.8424785778744,12097,"BRA","BR",76,"BRL","5106828",NA,NA,"BRMT5106828",NA,"BRA.12.93_1"
"3084078c",2020-06-03,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,-1,-3,1,4,2,2,0,4,0,1,-64.58,-78.7,-64.88,-62.5,3,"Brazil","Mato Grosso","Porto Esperidião",-15.88765049,-58.8424785778744,12097,"BRA","BR",76,"BRL","5106828",NA,NA,"BRMT5106828",NA,"BRA.12.93_1"
"3084078c",2020-06-04,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,-1,-3,1,4,2,2,0,4,0,1,-64.58,-78.7,-64.88,-62.5,3,"Brazil","Mato Grosso","Porto Esperidião",-15.88765049,-58.8424785778744,12097,"BRA","BR",76,"BRL","5106828",NA,NA,"BRMT5106828",NA,"BRA.12.93_1"
"3084078c",2020-06-05,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,-1,-3,1,4,2,2,0,4,0,1,-64.58,-78.7,-64.88,-62.5,3,"Brazil","Mato Grosso","Porto Esperidião",-15.88765049,-58.8424785778744,12097,"BRA","BR",76,"BRL","5106828",NA,NA,"BRMT5106828",NA,"BRA.12.93_1"
"3084078c",2020-06-06,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,-1,-3,1,4,2,2,0,4,0,1,-64.58,-78.7,-64.88,-62.5,3,"Brazil","Mato Grosso","Porto Esperidião",-15.88765049,-58.8424785778744,12097,"BRA","BR",76,"BRL","5106828",NA,NA,"BRMT5106828",NA,"BRA.12.93_1"
