"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"ee906cf6",2020-05-06,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,1,4,0,-1,-68.23,-81.48,-69.05,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,1,4,0,1,-69.27,-81.48,-70.24,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,1,4,0,1,-69.27,-81.48,-70.24,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-09,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,1,4,0,1,-69.27,-81.48,-70.24,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,1,4,0,1,-69.27,-81.48,-70.24,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-11,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,2,1,4,0,1,-70.83,-84.26,-72.02,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-12,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,2,1,4,0,1,-70.83,-84.26,-72.02,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-13,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,2,1,4,0,1,-70.83,-84.26,-72.02,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-14,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,2,1,4,0,1,-70.83,-84.26,-72.02,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-15,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,2,1,4,0,1,-70.83,-84.26,-72.02,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-16,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,2,1,4,0,1,-70.83,-84.26,-72.02,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-17,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,-2,4,2,2,1,4,0,1,-70.83,-84.26,-72.02,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-18,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-19,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-20,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-21,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-22,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-23,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-24,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-25,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-26,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-27,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-28,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-29,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-30,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-05-31,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,0,4,2,2,1,4,0,1,-66.15,-75.93,-66.67,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-01,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,0,4,2,2,1,4,0,1,-62.76,-69.91,-62.8,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-02,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,1,-65.89,-75.46,-66.37,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-03,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,1,-65.89,-75.46,-66.37,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-04,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,1,-65.89,-75.46,-66.37,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-05,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,1,-65.89,-75.46,-66.37,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-06,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,1,-65.89,-75.46,-66.37,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-07,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,1,-65.89,-75.46,-66.37,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-08,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,1,-65.89,-75.46,-66.37,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-09,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,1,-65.89,-75.46,-66.37,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-10,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,1,-65.89,-75.46,-66.37,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-11,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,1,-65.89,-75.46,-66.37,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-12,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,1,-65.89,-75.46,-66.37,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-13,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,1,-65.89,-75.46,-66.37,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-14,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,1,-65.89,-75.46,-66.37,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-15,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,1,1,4,2,2,1,4,0,1,-65.89,-75.46,-66.37,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-16,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-1,1,4,2,2,1,4,0,1,-64.84,-73.61,-65.18,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-17,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-1,1,4,2,2,1,4,0,1,-64.84,-73.61,-65.18,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-18,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-1,1,4,2,2,1,4,0,1,-64.84,-73.61,-65.18,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-19,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-1,1,4,2,2,1,4,0,1,-64.84,-73.61,-65.18,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-20,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-1,1,4,2,2,1,4,0,1,-64.84,-73.61,-65.18,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-21,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-1,1,4,2,2,1,4,0,1,-64.84,-73.61,-65.18,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
"ee906cf6",2020-06-22,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-1,1,4,2,2,1,4,0,1,-64.84,-73.61,-65.18,-62.5,3,"Brazil","São Paulo","Iacanga",-21.901369095,-49.0138972015668,11858,"BRA","BR",76,"BRL","3519105","ChIJCcq05RAiv5QRwhbXjrpS5KY",NA,"BRSP3519105",NA,"BRA.25.220_1"
