"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"f186fc9e",2020-06-18,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-3,-2,4,2,2,0,4,0,1,-67.45,-83.8,-68.15,-62.5,3,"Brazil","Mato Grosso","Nova Canaã do Norte",-10.66698408,-56.0333460293017,12831,"BRA","BR",76,"BRL","5106216",NA,NA,"BRMT5106216",NA,"BRA.12.69_1"
"f186fc9e",2020-06-19,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-3,-2,4,2,2,0,4,0,1,-67.45,-83.8,-68.15,-62.5,3,"Brazil","Mato Grosso","Nova Canaã do Norte",-10.66698408,-56.0333460293017,12831,"BRA","BR",76,"BRL","5106216",NA,NA,"BRMT5106216",NA,"BRA.12.69_1"
"f186fc9e",2020-06-20,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-3,-2,4,2,2,0,4,0,1,-67.45,-83.8,-68.15,-62.5,3,"Brazil","Mato Grosso","Nova Canaã do Norte",-10.66698408,-56.0333460293017,12831,"BRA","BR",76,"BRL","5106216",NA,NA,"BRMT5106216",NA,"BRA.12.69_1"
"f186fc9e",2020-06-21,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-3,-2,4,2,2,0,4,0,1,-67.45,-83.8,-68.15,-62.5,3,"Brazil","Mato Grosso","Nova Canaã do Norte",-10.66698408,-56.0333460293017,12831,"BRA","BR",76,"BRL","5106216",NA,NA,"BRMT5106216",NA,"BRA.12.69_1"
"f186fc9e",2020-06-22,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-3,-2,4,2,2,0,4,0,1,-67.45,-83.8,-68.15,-62.5,3,"Brazil","Mato Grosso","Nova Canaã do Norte",-10.66698408,-56.0333460293017,12831,"BRA","BR",76,"BRL","5106216",NA,NA,"BRMT5106216",NA,"BRA.12.69_1"
"f186fc9e",2020-06-23,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-3,-2,4,2,2,0,4,0,1,-67.45,-83.8,-68.15,-62.5,3,"Brazil","Mato Grosso","Nova Canaã do Norte",-10.66698408,-56.0333460293017,12831,"BRA","BR",76,"BRL","5106216",NA,NA,"BRMT5106216",NA,"BRA.12.69_1"
"f186fc9e",2020-06-24,4,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-3,-2,4,2,2,0,4,0,1,-67.45,-83.8,-68.15,-62.5,3,"Brazil","Mato Grosso","Nova Canaã do Norte",-10.66698408,-56.0333460293017,12831,"BRA","BR",76,"BRL","5106216",NA,NA,"BRMT5106216",NA,"BRA.12.69_1"
"f186fc9e",2020-06-25,4,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,-1,3,-2,4,2,2,0,4,0,1,-66.93,-82.87,-67.56,-62.5,3,"Brazil","Mato Grosso","Nova Canaã do Norte",-10.66698408,-56.0333460293017,12831,"BRA","BR",76,"BRL","5106216",NA,NA,"BRMT5106216",NA,"BRA.12.69_1"
"f186fc9e",2020-06-26,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,-1,3,-2,4,2,2,0,4,0,1,-66.93,-82.87,-67.56,-62.5,3,"Brazil","Mato Grosso","Nova Canaã do Norte",-10.66698408,-56.0333460293017,12831,"BRA","BR",76,"BRL","5106216",NA,NA,"BRMT5106216",NA,"BRA.12.69_1"
"f186fc9e",2020-06-27,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,-1,3,-2,4,2,2,0,4,0,1,-66.93,-82.87,-67.56,-62.5,3,"Brazil","Mato Grosso","Nova Canaã do Norte",-10.66698408,-56.0333460293017,12831,"BRA","BR",76,"BRL","5106216",NA,NA,"BRMT5106216",NA,"BRA.12.69_1"
