"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"08659f53",2020-05-09,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Goiatins",-8.018941405,-47.4744774122523,13095,"BRA","BR",76,"BRL","1709005",NA,NA,"BRTO1709005",NA,"BRA.27.56_1"
"08659f53",2020-05-10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Goiatins",-8.018941405,-47.4744774122523,13095,"BRA","BR",76,"BRL","1709005",NA,NA,"BRTO1709005",NA,"BRA.27.56_1"
"08659f53",2020-05-11,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Goiatins",-8.018941405,-47.4744774122523,13095,"BRA","BR",76,"BRL","1709005",NA,NA,"BRTO1709005",NA,"BRA.27.56_1"
"08659f53",2020-05-12,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Goiatins",-8.018941405,-47.4744774122523,13095,"BRA","BR",76,"BRL","1709005",NA,NA,"BRTO1709005",NA,"BRA.27.56_1"
"08659f53",2020-05-13,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Goiatins",-8.018941405,-47.4744774122523,13095,"BRA","BR",76,"BRL","1709005",NA,NA,"BRTO1709005",NA,"BRA.27.56_1"
"08659f53",2020-05-14,5,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Goiatins",-8.018941405,-47.4744774122523,13095,"BRA","BR",76,"BRL","1709005",NA,NA,"BRTO1709005",NA,"BRA.27.56_1"
"08659f53",2020-05-15,5,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,4,1,1,2,4,2,2,1,4,0,1,-74.48,-85.19,-72.62,-87.5,3,"Brazil","Tocantins","Goiatins",-8.018941405,-47.4744774122523,13095,"BRA","BR",76,"BRL","1709005",NA,NA,"BRTO1709005",NA,"BRA.27.56_1"
"08659f53",2020-05-16,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-2,-2,4,2,2,1,4,0,1,-71.61,-80.09,-69.35,-87.5,3,"Brazil","Tocantins","Goiatins",-8.018941405,-47.4744774122523,13095,"BRA","BR",76,"BRL","1709005",NA,NA,"BRTO1709005",NA,"BRA.27.56_1"
"08659f53",2020-05-17,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-2,-2,4,2,2,1,4,0,1,-71.61,-80.09,-69.35,-87.5,3,"Brazil","Tocantins","Goiatins",-8.018941405,-47.4744774122523,13095,"BRA","BR",76,"BRL","1709005",NA,NA,"BRTO1709005",NA,"BRA.27.56_1"
"08659f53",2020-05-18,9,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,-4,1,-2,-2,4,2,2,1,4,0,1,-71.61,-80.09,-69.35,-87.5,3,"Brazil","Tocantins","Goiatins",-8.018941405,-47.4744774122523,13095,"BRA","BR",76,"BRL","1709005",NA,NA,"BRTO1709005",NA,"BRA.27.56_1"
