"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"d7d4eea5",2020-05-04,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Ampére",-25.907343865,-53.4960569489412,19311,"BRA","BR",76,"BRL","4101002","ChIJcYwNAVPx8JQR80qd9ZubV4E",NA,"BRPR4101002",NA,"BRA.16.11_1"
"d7d4eea5",2020-05-05,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Ampére",-25.907343865,-53.4960569489412,19311,"BRA","BR",76,"BRL","4101002","ChIJcYwNAVPx8JQR80qd9ZubV4E",NA,"BRPR4101002",NA,"BRA.16.11_1"
"d7d4eea5",2020-05-06,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Ampére",-25.907343865,-53.4960569489412,19311,"BRA","BR",76,"BRL","4101002","ChIJcYwNAVPx8JQR80qd9ZubV4E",NA,"BRPR4101002",NA,"BRA.16.11_1"
"d7d4eea5",2020-05-07,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Ampére",-25.907343865,-53.4960569489412,19311,"BRA","BR",76,"BRL","4101002","ChIJcYwNAVPx8JQR80qd9ZubV4E",NA,"BRPR4101002",NA,"BRA.16.11_1"
"d7d4eea5",2020-05-08,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Ampére",-25.907343865,-53.4960569489412,19311,"BRA","BR",76,"BRL","4101002","ChIJcYwNAVPx8JQR80qd9ZubV4E",NA,"BRPR4101002",NA,"BRA.16.11_1"
"d7d4eea5",2020-05-09,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Ampére",-25.907343865,-53.4960569489412,19311,"BRA","BR",76,"BRL","4101002","ChIJcYwNAVPx8JQR80qd9ZubV4E",NA,"BRPR4101002",NA,"BRA.16.11_1"
"d7d4eea5",2020-05-10,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Ampére",-25.907343865,-53.4960569489412,19311,"BRA","BR",76,"BRL","4101002","ChIJcYwNAVPx8JQR80qd9ZubV4E",NA,"BRPR4101002",NA,"BRA.16.11_1"
"d7d4eea5",2020-05-11,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Ampére",-25.907343865,-53.4960569489412,19311,"BRA","BR",76,"BRL","4101002","ChIJcYwNAVPx8JQR80qd9ZubV4E",NA,"BRPR4101002",NA,"BRA.16.11_1"
"d7d4eea5",2020-05-12,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Ampére",-25.907343865,-53.4960569489412,19311,"BRA","BR",76,"BRL","4101002","ChIJcYwNAVPx8JQR80qd9ZubV4E",NA,"BRPR4101002",NA,"BRA.16.11_1"
"d7d4eea5",2020-05-13,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Ampére",-25.907343865,-53.4960569489412,19311,"BRA","BR",76,"BRL","4101002","ChIJcYwNAVPx8JQR80qd9ZubV4E",NA,"BRPR4101002",NA,"BRA.16.11_1"
