"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"05214792",2020-06-11,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Paulo Frontin",-26.07406044,-50.7174006626163,7387,"BRA","BR",76,"BRL","4118709",NA,NA,"BRPR4118709",NA,"BRA.16.262_1"
"05214792",2020-06-12,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Paulo Frontin",-26.07406044,-50.7174006626163,7387,"BRA","BR",76,"BRL","4118709",NA,NA,"BRPR4118709",NA,"BRA.16.262_1"
"05214792",2020-06-13,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,3,1,1,2,4,2,2,0,4,0,-2,-70.83,-82.41,-68.45,-87.5,3,"Brazil","Paraná","Paulo Frontin",-26.07406044,-50.7174006626163,7387,"BRA","BR",76,"BRL","4118709",NA,NA,"BRPR4118709",NA,"BRA.16.262_1"
"05214792",2020-06-14,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,3,1,1,2,4,2,2,0,4,0,-2,-70.83,-82.41,-68.45,-87.5,3,"Brazil","Paraná","Paulo Frontin",-26.07406044,-50.7174006626163,7387,"BRA","BR",76,"BRL","4118709",NA,NA,"BRPR4118709",NA,"BRA.16.262_1"
"05214792",2020-06-15,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,3,1,1,2,4,2,2,0,4,0,-2,-70.83,-82.41,-68.45,-87.5,3,"Brazil","Paraná","Paulo Frontin",-26.07406044,-50.7174006626163,7387,"BRA","BR",76,"BRL","4118709",NA,NA,"BRPR4118709",NA,"BRA.16.262_1"
"05214792",2020-06-16,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,3,1,1,2,4,2,2,0,4,0,-2,-70.83,-82.41,-68.45,-87.5,3,"Brazil","Paraná","Paulo Frontin",-26.07406044,-50.7174006626163,7387,"BRA","BR",76,"BRL","4118709",NA,NA,"BRPR4118709",NA,"BRA.16.262_1"
"05214792",2020-06-17,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,3,1,1,2,4,2,2,0,4,0,-2,-70.83,-82.41,-68.45,-87.5,3,"Brazil","Paraná","Paulo Frontin",-26.07406044,-50.7174006626163,7387,"BRA","BR",76,"BRL","4118709",NA,NA,"BRPR4118709",NA,"BRA.16.262_1"
"05214792",2020-06-18,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,3,1,1,2,4,2,2,0,4,0,-2,-70.83,-82.41,-68.45,-87.5,3,"Brazil","Paraná","Paulo Frontin",-26.07406044,-50.7174006626163,7387,"BRA","BR",76,"BRL","4118709",NA,NA,"BRPR4118709",NA,"BRA.16.262_1"
"05214792",2020-06-19,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,3,1,1,2,4,2,2,0,4,0,-2,-70.83,-82.41,-68.45,-87.5,3,"Brazil","Paraná","Paulo Frontin",-26.07406044,-50.7174006626163,7387,"BRA","BR",76,"BRL","4118709",NA,NA,"BRPR4118709",NA,"BRA.16.262_1"
"05214792",2020-06-20,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,3,1,1,2,4,2,2,0,4,0,-2,-70.83,-82.41,-68.45,-87.5,3,"Brazil","Paraná","Paulo Frontin",-26.07406044,-50.7174006626163,7387,"BRA","BR",76,"BRL","4118709",NA,NA,"BRPR4118709",NA,"BRA.16.262_1"
"05214792",2020-06-21,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,3,1,1,2,4,2,2,0,4,0,-2,-70.83,-82.41,-68.45,-87.5,3,"Brazil","Paraná","Paulo Frontin",-26.07406044,-50.7174006626163,7387,"BRA","BR",76,"BRL","4118709",NA,NA,"BRPR4118709",NA,"BRA.16.262_1"
"05214792",2020-06-22,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,3,1,1,2,4,2,2,0,4,0,-2,-70.83,-82.41,-68.45,-87.5,3,"Brazil","Paraná","Paulo Frontin",-26.07406044,-50.7174006626163,7387,"BRA","BR",76,"BRL","4118709",NA,NA,"BRPR4118709",NA,"BRA.16.262_1"
