"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"8f2b62d7",2020-08-06,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-09,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-11,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-13,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-14,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-16,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-17,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-18,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-19,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-20,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-21,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-22,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-23,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-24,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-25,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-26,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-27,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-28,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-29,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-30,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-08-31,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,1,2,2,2,4,0,2,-64.58,-69.44,-68.45,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-01,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-02,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-03,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-04,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-05,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-06,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-08,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-09,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-10,4,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-11,4,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-12,4,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-13,4,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-14,4,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-15,4,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-16,4,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-17,4,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-18,5,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-19,5,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-20,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,1,1,1,2,2,2,4,0,2,-63.54,-67.59,-67.26,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-21,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,4,1,1,1,1,2,2,2,4,0,2,-64.06,-68.52,-67.86,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-22,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,4,1,1,1,1,2,2,2,4,0,1,-61.98,-68.52,-65.48,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-23,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,4,1,1,1,1,2,2,2,4,0,1,-61.98,-68.52,-65.48,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-24,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,4,1,1,1,1,2,2,2,4,0,1,-61.98,-68.52,-65.48,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-25,7,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,4,1,1,1,1,2,2,2,4,0,1,-61.98,-68.52,-65.48,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-26,8,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,4,1,1,1,1,2,2,2,4,0,1,-61.98,-68.52,-65.48,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-27,8,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,4,1,1,1,1,2,2,2,4,0,1,-61.98,-68.52,-65.48,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-28,8,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,4,1,1,1,1,2,2,2,4,0,1,-61.98,-68.52,-65.48,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
"8f2b62d7",2020-09-29,8,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,-2,4,1,1,1,1,2,2,2,4,0,1,-61.98,-68.52,-65.48,-37.5,3,"Brazil","Rio Grande do Sul","Herveiras",-29.444904325,-52.6557231145823,3019,"BRA","BR",76,"BRL","4309571",NA,NA,"BRRS4309571",NA,"BRA.21.180_1"
