"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"700fd7cc",2020-05-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,2,1,4,0,-3,-75,-86.11,-76.79,-62.5,3,"Brazil","Piauí","Fronteiras",-7.083106515,-40.5988000694728,11659,"BRA","BR",76,"BRL","2204303",NA,NA,"BRPI2204303",NA,"BRA.18.87_1"
"700fd7cc",2020-05-09,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,2,1,4,0,-3,-75,-86.11,-76.79,-62.5,3,"Brazil","Piauí","Fronteiras",-7.083106515,-40.5988000694728,11659,"BRA","BR",76,"BRL","2204303",NA,NA,"BRPI2204303",NA,"BRA.18.87_1"
"700fd7cc",2020-05-10,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,2,1,4,0,-3,-75,-86.11,-76.79,-62.5,3,"Brazil","Piauí","Fronteiras",-7.083106515,-40.5988000694728,11659,"BRA","BR",76,"BRL","2204303",NA,NA,"BRPI2204303",NA,"BRA.18.87_1"
"700fd7cc",2020-05-11,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,2,1,4,0,-3,-75,-86.11,-76.79,-62.5,3,"Brazil","Piauí","Fronteiras",-7.083106515,-40.5988000694728,11659,"BRA","BR",76,"BRL","2204303",NA,NA,"BRPI2204303",NA,"BRA.18.87_1"
"700fd7cc",2020-05-12,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,2,1,4,0,-3,-75,-86.11,-76.79,-62.5,3,"Brazil","Piauí","Fronteiras",-7.083106515,-40.5988000694728,11659,"BRA","BR",76,"BRL","2204303",NA,NA,"BRPI2204303",NA,"BRA.18.87_1"
"700fd7cc",2020-05-13,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,2,1,4,0,-3,-75,-86.11,-76.79,-62.5,3,"Brazil","Piauí","Fronteiras",-7.083106515,-40.5988000694728,11659,"BRA","BR",76,"BRL","2204303",NA,NA,"BRPI2204303",NA,"BRA.18.87_1"
"700fd7cc",2020-05-14,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,-2,1,2,4,2,2,1,4,0,-3,-75,-86.11,-76.79,-62.5,3,"Brazil","Piauí","Fronteiras",-7.083106515,-40.5988000694728,11659,"BRA","BR",76,"BRL","2204303",NA,NA,"BRPI2204303",NA,"BRA.18.87_1"
"700fd7cc",2020-05-15,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,-2,1,2,4,2,2,1,4,0,-3,-77.08,-89.81,-79.17,-62.5,3,"Brazil","Piauí","Fronteiras",-7.083106515,-40.5988000694728,11659,"BRA","BR",76,"BRL","2204303",NA,NA,"BRPI2204303",NA,"BRA.18.87_1"
"700fd7cc",2020-05-16,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,-2,1,2,4,2,2,1,4,0,-3,-77.08,-89.81,-79.17,-62.5,3,"Brazil","Piauí","Fronteiras",-7.083106515,-40.5988000694728,11659,"BRA","BR",76,"BRL","2204303",NA,NA,"BRPI2204303",NA,"BRA.18.87_1"
"700fd7cc",2020-05-17,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,-2,1,2,4,2,2,1,4,0,-3,-77.08,-89.81,-79.17,-62.5,3,"Brazil","Piauí","Fronteiras",-7.083106515,-40.5988000694728,11659,"BRA","BR",76,"BRL","2204303",NA,NA,"BRPI2204303",NA,"BRA.18.87_1"
