"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"4a7fdeec",2020-07-04,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-63.02,-81.48,-66.67,-37.5,3,"Brazil","Goiás","Mambaí",-14.4356966,-46.0846875464796,9081,"BRA","BR",76,"BRL","5212709",NA,NA,"BRGO5212709",NA,"BRA.9.133_1"
"4a7fdeec",2020-07-05,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-63.02,-81.48,-66.67,-37.5,3,"Brazil","Goiás","Mambaí",-14.4356966,-46.0846875464796,9081,"BRA","BR",76,"BRL","5212709",NA,NA,"BRGO5212709",NA,"BRA.9.133_1"
"4a7fdeec",2020-07-06,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-63.02,-81.48,-66.67,-37.5,3,"Brazil","Goiás","Mambaí",-14.4356966,-46.0846875464796,9081,"BRA","BR",76,"BRL","5212709",NA,NA,"BRGO5212709",NA,"BRA.9.133_1"
"4a7fdeec",2020-07-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-63.02,-81.48,-66.67,-37.5,3,"Brazil","Goiás","Mambaí",-14.4356966,-46.0846875464796,9081,"BRA","BR",76,"BRL","5212709",NA,NA,"BRGO5212709",NA,"BRA.9.133_1"
"4a7fdeec",2020-07-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-63.02,-81.48,-66.67,-37.5,3,"Brazil","Goiás","Mambaí",-14.4356966,-46.0846875464796,9081,"BRA","BR",76,"BRL","5212709",NA,NA,"BRGO5212709",NA,"BRA.9.133_1"
"4a7fdeec",2020-07-09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-63.02,-81.48,-66.67,-37.5,3,"Brazil","Goiás","Mambaí",-14.4356966,-46.0846875464796,9081,"BRA","BR",76,"BRL","5212709",NA,NA,"BRGO5212709",NA,"BRA.9.133_1"
"4a7fdeec",2020-07-10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-63.02,-81.48,-66.67,-37.5,3,"Brazil","Goiás","Mambaí",-14.4356966,-46.0846875464796,9081,"BRA","BR",76,"BRL","5212709",NA,NA,"BRGO5212709",NA,"BRA.9.133_1"
"4a7fdeec",2020-07-11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,1,1,4,2,2,0,4,0,1,-63.02,-81.48,-66.67,-37.5,3,"Brazil","Goiás","Mambaí",-14.4356966,-46.0846875464796,9081,"BRA","BR",76,"BRL","5212709",NA,NA,"BRGO5212709",NA,"BRA.9.133_1"
"4a7fdeec",2020-07-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,-4,1,1,1,4,2,2,0,4,0,1,-62.24,-80.09,-65.77,-37.5,3,"Brazil","Goiás","Mambaí",-14.4356966,-46.0846875464796,9081,"BRA","BR",76,"BRL","5212709",NA,NA,"BRGO5212709",NA,"BRA.9.133_1"
"4a7fdeec",2020-07-13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,-4,1,1,1,4,2,2,0,4,0,1,-62.24,-80.09,-65.77,-37.5,3,"Brazil","Goiás","Mambaí",-14.4356966,-46.0846875464796,9081,"BRA","BR",76,"BRL","5212709",NA,NA,"BRGO5212709",NA,"BRA.9.133_1"
