"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"b893a2e6",2020-07-16,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,4,2,2,0,-4,0,2,-62.24,-77.78,-65.77,-37.5,3,"Brazil","Rio Grande do Sul","Silveira Martins",-29.63310242,-53.5550536389967,2374,"BRA","BR",76,"BRL","4320651",NA,NA,"BRRS4320651",NA,"BRA.21.405_1"
"b893a2e6",2020-07-17,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,4,2,2,0,-4,0,2,-62.24,-77.78,-65.77,-37.5,3,"Brazil","Rio Grande do Sul","Silveira Martins",-29.63310242,-53.5550536389967,2374,"BRA","BR",76,"BRL","4320651",NA,NA,"BRRS4320651",NA,"BRA.21.405_1"
"b893a2e6",2020-07-18,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,4,2,2,0,-4,0,2,-62.24,-77.78,-65.77,-37.5,3,"Brazil","Rio Grande do Sul","Silveira Martins",-29.63310242,-53.5550536389967,2374,"BRA","BR",76,"BRL","4320651",NA,NA,"BRRS4320651",NA,"BRA.21.405_1"
"b893a2e6",2020-07-19,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,4,2,2,0,-4,0,2,-62.24,-77.78,-65.77,-37.5,3,"Brazil","Rio Grande do Sul","Silveira Martins",-29.63310242,-53.5550536389967,2374,"BRA","BR",76,"BRL","4320651",NA,NA,"BRRS4320651",NA,"BRA.21.405_1"
"b893a2e6",2020-07-20,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,4,2,2,0,-4,0,2,-62.24,-77.78,-65.77,-37.5,3,"Brazil","Rio Grande do Sul","Silveira Martins",-29.63310242,-53.5550536389967,2374,"BRA","BR",76,"BRL","4320651",NA,NA,"BRRS4320651",NA,"BRA.21.405_1"
"b893a2e6",2020-07-21,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,4,2,2,0,-4,0,2,-62.24,-77.78,-65.77,-37.5,3,"Brazil","Rio Grande do Sul","Silveira Martins",-29.63310242,-53.5550536389967,2374,"BRA","BR",76,"BRL","4320651",NA,NA,"BRRS4320651",NA,"BRA.21.405_1"
"b893a2e6",2020-07-22,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,4,2,2,0,-4,0,2,-62.24,-77.78,-65.77,-37.5,3,"Brazil","Rio Grande do Sul","Silveira Martins",-29.63310242,-53.5550536389967,2374,"BRA","BR",76,"BRL","4320651",NA,NA,"BRRS4320651",NA,"BRA.21.405_1"
"b893a2e6",2020-07-23,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,4,2,2,2,-4,0,2,-68.49,-77.78,-72.92,-37.5,3,"Brazil","Rio Grande do Sul","Silveira Martins",-29.63310242,-53.5550536389967,2374,"BRA","BR",76,"BRL","4320651",NA,NA,"BRRS4320651",NA,"BRA.21.405_1"
"b893a2e6",2020-07-24,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,4,2,2,2,-4,0,2,-68.49,-77.78,-72.92,-37.5,3,"Brazil","Rio Grande do Sul","Silveira Martins",-29.63310242,-53.5550536389967,2374,"BRA","BR",76,"BRL","4320651",NA,NA,"BRRS4320651",NA,"BRA.21.405_1"
"b893a2e6",2020-07-25,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,4,2,2,2,-4,0,2,-68.49,-77.78,-72.92,-37.5,3,"Brazil","Rio Grande do Sul","Silveira Martins",-29.63310242,-53.5550536389967,2374,"BRA","BR",76,"BRL","4320651",NA,NA,"BRRS4320651",NA,"BRA.21.405_1"
"b893a2e6",2020-07-26,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,4,2,2,2,-4,0,2,-68.49,-77.78,-72.92,-37.5,3,"Brazil","Rio Grande do Sul","Silveira Martins",-29.63310242,-53.5550536389967,2374,"BRA","BR",76,"BRL","4320651",NA,NA,"BRRS4320651",NA,"BRA.21.405_1"
"b893a2e6",2020-07-27,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,4,1,-2,1,4,2,2,2,-4,0,2,-68.49,-77.78,-72.92,-37.5,3,"Brazil","Rio Grande do Sul","Silveira Martins",-29.63310242,-53.5550536389967,2374,"BRA","BR",76,"BRL","4320651",NA,NA,"BRRS4320651",NA,"BRA.21.405_1"
