"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"53caca47",2020-05-10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Imbituva",-25.22624302,-50.6533723684031,32940,"BRA","BR",76,"BRL","4110102","ChIJr2oNfo1j6JQRtsmQ3tDEL8A",NA,"BRPR4110102",NA,"BRA.16.149_1"
"53caca47",2020-05-11,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Imbituva",-25.22624302,-50.6533723684031,32940,"BRA","BR",76,"BRL","4110102","ChIJr2oNfo1j6JQRtsmQ3tDEL8A",NA,"BRPR4110102",NA,"BRA.16.149_1"
"53caca47",2020-05-12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Imbituva",-25.22624302,-50.6533723684031,32940,"BRA","BR",76,"BRL","4110102","ChIJr2oNfo1j6JQRtsmQ3tDEL8A",NA,"BRPR4110102",NA,"BRA.16.149_1"
"53caca47",2020-05-13,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Imbituva",-25.22624302,-50.6533723684031,32940,"BRA","BR",76,"BRL","4110102","ChIJr2oNfo1j6JQRtsmQ3tDEL8A",NA,"BRPR4110102",NA,"BRA.16.149_1"
"53caca47",2020-05-14,6,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Imbituva",-25.22624302,-50.6533723684031,32940,"BRA","BR",76,"BRL","4110102","ChIJr2oNfo1j6JQRtsmQ3tDEL8A",NA,"BRPR4110102",NA,"BRA.16.149_1"
"53caca47",2020-05-15,10,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Imbituva",-25.22624302,-50.6533723684031,32940,"BRA","BR",76,"BRL","4110102","ChIJr2oNfo1j6JQRtsmQ3tDEL8A",NA,"BRPR4110102",NA,"BRA.16.149_1"
"53caca47",2020-05-16,11,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Imbituva",-25.22624302,-50.6533723684031,32940,"BRA","BR",76,"BRL","4110102","ChIJr2oNfo1j6JQRtsmQ3tDEL8A",NA,"BRPR4110102",NA,"BRA.16.149_1"
"53caca47",2020-05-17,12,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Imbituva",-25.22624302,-50.6533723684031,32940,"BRA","BR",76,"BRL","4110102","ChIJr2oNfo1j6JQRtsmQ3tDEL8A",NA,"BRPR4110102",NA,"BRA.16.149_1"
"53caca47",2020-05-18,14,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Imbituva",-25.22624302,-50.6533723684031,32940,"BRA","BR",76,"BRL","4110102","ChIJr2oNfo1j6JQRtsmQ3tDEL8A",NA,"BRPR4110102",NA,"BRA.16.149_1"
"53caca47",2020-05-19,19,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Imbituva",-25.22624302,-50.6533723684031,32940,"BRA","BR",76,"BRL","4110102","ChIJr2oNfo1j6JQRtsmQ3tDEL8A",NA,"BRPR4110102",NA,"BRA.16.149_1"
"53caca47",2020-05-20,19,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Imbituva",-25.22624302,-50.6533723684031,32940,"BRA","BR",76,"BRL","4110102","ChIJr2oNfo1j6JQRtsmQ3tDEL8A",NA,"BRPR4110102",NA,"BRA.16.149_1"
"53caca47",2020-05-21,21,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Imbituva",-25.22624302,-50.6533723684031,32940,"BRA","BR",76,"BRL","4110102","ChIJr2oNfo1j6JQRtsmQ3tDEL8A",NA,"BRPR4110102",NA,"BRA.16.149_1"
"53caca47",2020-05-22,24,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Imbituva",-25.22624302,-50.6533723684031,32940,"BRA","BR",76,"BRL","4110102","ChIJr2oNfo1j6JQRtsmQ3tDEL8A",NA,"BRPR4110102",NA,"BRA.16.149_1"
"53caca47",2020-05-23,24,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Imbituva",-25.22624302,-50.6533723684031,32940,"BRA","BR",76,"BRL","4110102","ChIJr2oNfo1j6JQRtsmQ3tDEL8A",NA,"BRPR4110102",NA,"BRA.16.149_1"
