"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"d02beb85",2020-05-20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,-3,2,3,1,-2,2,4,2,2,0,-4,0,-2,-71.09,-84.26,-68.75,-87.5,3,"Brazil","Bahia","Jaguaripe",-13.08794451,-38.8827169247234,18981,"BRA","BR",76,"BRL","2917805",NA,NA,"BRBA2917805",NA,"BRA.5.212_1"
"d02beb85",2020-05-21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,-2,2,4,2,2,0,-4,0,-2,-72.14,-86.11,-69.94,-87.5,3,"Brazil","Bahia","Jaguaripe",-13.08794451,-38.8827169247234,18981,"BRA","BR",76,"BRL","2917805",NA,NA,"BRBA2917805",NA,"BRA.5.212_1"
"d02beb85",2020-05-22,2,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,-2,2,4,2,2,0,-4,0,-2,-72.14,-86.11,-69.94,-87.5,3,"Brazil","Bahia","Jaguaripe",-13.08794451,-38.8827169247234,18981,"BRA","BR",76,"BRL","2917805",NA,NA,"BRBA2917805",NA,"BRA.5.212_1"
"d02beb85",2020-05-23,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,-2,2,4,2,2,0,-4,0,-2,-72.14,-86.11,-69.94,-87.5,3,"Brazil","Bahia","Jaguaripe",-13.08794451,-38.8827169247234,18981,"BRA","BR",76,"BRL","2917805",NA,NA,"BRBA2917805",NA,"BRA.5.212_1"
"d02beb85",2020-05-24,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,-2,2,4,2,2,0,-4,0,-2,-72.14,-86.11,-69.94,-87.5,3,"Brazil","Bahia","Jaguaripe",-13.08794451,-38.8827169247234,18981,"BRA","BR",76,"BRL","2917805",NA,NA,"BRBA2917805",NA,"BRA.5.212_1"
"d02beb85",2020-05-25,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,-2,2,4,2,2,0,-4,0,-2,-72.14,-86.11,-69.94,-87.5,3,"Brazil","Bahia","Jaguaripe",-13.08794451,-38.8827169247234,18981,"BRA","BR",76,"BRL","2917805",NA,NA,"BRBA2917805",NA,"BRA.5.212_1"
"d02beb85",2020-05-26,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,-2,2,4,2,2,0,-4,0,-2,-72.14,-86.11,-69.94,-87.5,3,"Brazil","Bahia","Jaguaripe",-13.08794451,-38.8827169247234,18981,"BRA","BR",76,"BRL","2917805",NA,NA,"BRBA2917805",NA,"BRA.5.212_1"
"d02beb85",2020-05-27,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,-2,2,4,2,2,0,-4,0,-2,-72.14,-86.11,-69.94,-87.5,3,"Brazil","Bahia","Jaguaripe",-13.08794451,-38.8827169247234,18981,"BRA","BR",76,"BRL","2917805",NA,NA,"BRBA2917805",NA,"BRA.5.212_1"
"d02beb85",2020-05-28,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,-2,2,4,2,2,0,-4,0,-2,-72.14,-86.11,-69.94,-87.5,3,"Brazil","Bahia","Jaguaripe",-13.08794451,-38.8827169247234,18981,"BRA","BR",76,"BRL","2917805",NA,NA,"BRBA2917805",NA,"BRA.5.212_1"
"d02beb85",2020-05-29,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,-2,2,4,2,2,0,-4,0,-2,-72.14,-86.11,-69.94,-87.5,3,"Brazil","Bahia","Jaguaripe",-13.08794451,-38.8827169247234,18981,"BRA","BR",76,"BRL","2917805",NA,NA,"BRBA2917805",NA,"BRA.5.212_1"
