"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"dea51b5a",2020-04-23,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,-3,0,1,-61.98,-81.94,-61.9,-62.5,3,"Brazil","Minas Gerais","Morro da Garça",-18.607319835,-44.6129557490893,2437,"BRA","BR",76,"BRL","3143609",NA,NA,"BRMG3143609",NA,"BRA.13.507_1"
"dea51b5a",2020-04-24,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,-3,0,1,-61.98,-81.94,-61.9,-62.5,3,"Brazil","Minas Gerais","Morro da Garça",-18.607319835,-44.6129557490893,2437,"BRA","BR",76,"BRL","3143609",NA,NA,"BRMG3143609",NA,"BRA.13.507_1"
"dea51b5a",2020-04-25,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,-3,0,1,-61.98,-81.94,-61.9,-62.5,3,"Brazil","Minas Gerais","Morro da Garça",-18.607319835,-44.6129557490893,2437,"BRA","BR",76,"BRL","3143609",NA,NA,"BRMG3143609",NA,"BRA.13.507_1"
"dea51b5a",2020-04-26,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,-3,0,1,-61.98,-81.94,-61.9,-62.5,3,"Brazil","Minas Gerais","Morro da Garça",-18.607319835,-44.6129557490893,2437,"BRA","BR",76,"BRL","3143609",NA,NA,"BRMG3143609",NA,"BRA.13.507_1"
"dea51b5a",2020-04-27,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,-3,0,1,-61.98,-81.94,-61.9,-62.5,3,"Brazil","Minas Gerais","Morro da Garça",-18.607319835,-44.6129557490893,2437,"BRA","BR",76,"BRL","3143609",NA,NA,"BRMG3143609",NA,"BRA.13.507_1"
"dea51b5a",2020-04-28,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,-4,1,1,2,4,2,1,0,-3,0,1,-61.98,-81.94,-61.9,-62.5,3,"Brazil","Minas Gerais","Morro da Garça",-18.607319835,-44.6129557490893,2437,"BRA","BR",76,"BRL","3143609",NA,NA,"BRMG3143609",NA,"BRA.13.507_1"
"dea51b5a",2020-04-29,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,1,0,-3,0,1,-60.94,-80.09,-60.71,-62.5,3,"Brazil","Minas Gerais","Morro da Garça",-18.607319835,-44.6129557490893,2437,"BRA","BR",76,"BRL","3143609",NA,NA,"BRMG3143609",NA,"BRA.13.507_1"
"dea51b5a",2020-04-30,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,1,0,-3,0,1,-60.94,-80.09,-60.71,-62.5,3,"Brazil","Minas Gerais","Morro da Garça",-18.607319835,-44.6129557490893,2437,"BRA","BR",76,"BRL","3143609",NA,NA,"BRMG3143609",NA,"BRA.13.507_1"
"dea51b5a",2020-05-01,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,1,0,-3,0,1,-60.94,-80.09,-60.71,-62.5,3,"Brazil","Minas Gerais","Morro da Garça",-18.607319835,-44.6129557490893,2437,"BRA","BR",76,"BRL","3143609",NA,NA,"BRMG3143609",NA,"BRA.13.507_1"
"dea51b5a",2020-05-02,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,-2,2,-4,1,1,2,4,2,1,0,-3,0,1,-60.94,-80.09,-60.71,-62.5,3,"Brazil","Minas Gerais","Morro da Garça",-18.607319835,-44.6129557490893,2437,"BRA","BR",76,"BRL","3143609",NA,NA,"BRMG3143609",NA,"BRA.13.507_1"
