"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"cf617d9c",2020-04-23,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,-2,4,2,0,0,4,0,3,-61.46,-73.15,-61.31,-62.5,3,"Brazil","Maranhão","Monção",-3.481521965,-45.3218558061374,33664,"BRA","BR",76,"BRL","2106904",NA,NA,"BRMA2106904",NA,"BRA.10.121_1"
"cf617d9c",2020-04-24,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,-2,4,2,0,0,4,0,3,-61.46,-73.15,-61.31,-62.5,3,"Brazil","Maranhão","Monção",-3.481521965,-45.3218558061374,33664,"BRA","BR",76,"BRL","2106904",NA,NA,"BRMA2106904",NA,"BRA.10.121_1"
"cf617d9c",2020-04-25,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,-2,4,2,0,0,4,0,3,-61.46,-73.15,-61.31,-62.5,3,"Brazil","Maranhão","Monção",-3.481521965,-45.3218558061374,33664,"BRA","BR",76,"BRL","2106904",NA,NA,"BRMA2106904",NA,"BRA.10.121_1"
"cf617d9c",2020-04-26,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,-2,4,2,0,0,4,0,3,-61.46,-73.15,-61.31,-62.5,3,"Brazil","Maranhão","Monção",-3.481521965,-45.3218558061374,33664,"BRA","BR",76,"BRL","2106904",NA,NA,"BRMA2106904",NA,"BRA.10.121_1"
"cf617d9c",2020-04-27,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,1,4,2,0,0,4,0,3,-59.9,-70.37,-59.52,-62.5,3,"Brazil","Maranhão","Monção",-3.481521965,-45.3218558061374,33664,"BRA","BR",76,"BRL","2106904",NA,NA,"BRMA2106904",NA,"BRA.10.121_1"
"cf617d9c",2020-04-28,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,1,4,2,0,0,4,0,3,-59.9,-70.37,-59.52,-62.5,3,"Brazil","Maranhão","Monção",-3.481521965,-45.3218558061374,33664,"BRA","BR",76,"BRL","2106904",NA,NA,"BRMA2106904",NA,"BRA.10.121_1"
"cf617d9c",2020-04-29,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,1,4,2,0,0,4,0,3,-59.9,-70.37,-59.52,-62.5,3,"Brazil","Maranhão","Monção",-3.481521965,-45.3218558061374,33664,"BRA","BR",76,"BRL","2106904",NA,NA,"BRMA2106904",NA,"BRA.10.121_1"
"cf617d9c",2020-04-30,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,1,4,2,0,0,4,0,3,-59.9,-70.37,-59.52,-62.5,3,"Brazil","Maranhão","Monção",-3.481521965,-45.3218558061374,33664,"BRA","BR",76,"BRL","2106904",NA,NA,"BRMA2106904",NA,"BRA.10.121_1"
"cf617d9c",2020-05-01,4,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,1,4,2,0,0,4,0,3,-59.9,-70.37,-59.52,-62.5,3,"Brazil","Maranhão","Monção",-3.481521965,-45.3218558061374,33664,"BRA","BR",76,"BRL","2106904",NA,NA,"BRMA2106904",NA,"BRA.10.121_1"
"cf617d9c",2020-05-02,4,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,0,1,1,4,2,0,0,4,0,3,-59.9,-70.37,-59.52,-62.5,3,"Brazil","Maranhão","Monção",-3.481521965,-45.3218558061374,33664,"BRA","BR",76,"BRL","2106904",NA,NA,"BRMA2106904",NA,"BRA.10.121_1"
