"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"78a6ba4e",2020-04-29,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Santa Mariana",-24.893258095,-51.9445982026177,11622,"BRA","BR",76,"BRL","4123907","ChIJw8FlG5na6pQRBwUNWHwY7B4",NA,"BRPR4123907",NA,"BRA.16.332_1"
"78a6ba4e",2020-04-30,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Santa Mariana",-24.893258095,-51.9445982026177,11622,"BRA","BR",76,"BRL","4123907","ChIJw8FlG5na6pQRBwUNWHwY7B4",NA,"BRPR4123907",NA,"BRA.16.332_1"
"78a6ba4e",2020-05-01,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Santa Mariana",-24.893258095,-51.9445982026177,11622,"BRA","BR",76,"BRL","4123907","ChIJw8FlG5na6pQRBwUNWHwY7B4",NA,"BRPR4123907",NA,"BRA.16.332_1"
"78a6ba4e",2020-05-02,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Santa Mariana",-24.893258095,-51.9445982026177,11622,"BRA","BR",76,"BRL","4123907","ChIJw8FlG5na6pQRBwUNWHwY7B4",NA,"BRPR4123907",NA,"BRA.16.332_1"
"78a6ba4e",2020-05-03,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Santa Mariana",-24.893258095,-51.9445982026177,11622,"BRA","BR",76,"BRL","4123907","ChIJw8FlG5na6pQRBwUNWHwY7B4",NA,"BRPR4123907",NA,"BRA.16.332_1"
"78a6ba4e",2020-05-04,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Santa Mariana",-24.893258095,-51.9445982026177,11622,"BRA","BR",76,"BRL","4123907","ChIJw8FlG5na6pQRBwUNWHwY7B4",NA,"BRPR4123907",NA,"BRA.16.332_1"
"78a6ba4e",2020-05-05,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Santa Mariana",-24.893258095,-51.9445982026177,11622,"BRA","BR",76,"BRL","4123907","ChIJw8FlG5na6pQRBwUNWHwY7B4",NA,"BRPR4123907",NA,"BRA.16.332_1"
"78a6ba4e",2020-05-06,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Santa Mariana",-24.893258095,-51.9445982026177,11622,"BRA","BR",76,"BRL","4123907","ChIJw8FlG5na6pQRBwUNWHwY7B4",NA,"BRPR4123907",NA,"BRA.16.332_1"
"78a6ba4e",2020-05-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Santa Mariana",-24.893258095,-51.9445982026177,11622,"BRA","BR",76,"BRL","4123907","ChIJw8FlG5na6pQRBwUNWHwY7B4",NA,"BRPR4123907",NA,"BRA.16.332_1"
"78a6ba4e",2020-05-08,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Santa Mariana",-24.893258095,-51.9445982026177,11622,"BRA","BR",76,"BRL","4123907","ChIJw8FlG5na6pQRBwUNWHwY7B4",NA,"BRPR4123907",NA,"BRA.16.332_1"
"78a6ba4e",2020-05-09,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Santa Mariana",-24.893258095,-51.9445982026177,11622,"BRA","BR",76,"BRL","4123907","ChIJw8FlG5na6pQRBwUNWHwY7B4",NA,"BRPR4123907",NA,"BRA.16.332_1"
"78a6ba4e",2020-05-10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Santa Mariana",-24.893258095,-51.9445982026177,11622,"BRA","BR",76,"BRL","4123907","ChIJw8FlG5na6pQRBwUNWHwY7B4",NA,"BRPR4123907",NA,"BRA.16.332_1"
"78a6ba4e",2020-05-11,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Santa Mariana",-24.893258095,-51.9445982026177,11622,"BRA","BR",76,"BRL","4123907","ChIJw8FlG5na6pQRBwUNWHwY7B4",NA,"BRPR4123907",NA,"BRA.16.332_1"
"78a6ba4e",2020-05-12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Santa Mariana",-24.893258095,-51.9445982026177,11622,"BRA","BR",76,"BRL","4123907","ChIJw8FlG5na6pQRBwUNWHwY7B4",NA,"BRPR4123907",NA,"BRA.16.332_1"
"78a6ba4e",2020-05-13,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,1,1,2,4,2,2,0,4,0,-2,-69.79,-80.56,-67.26,-87.5,3,"Brazil","Paraná","Santa Mariana",-24.893258095,-51.9445982026177,11622,"BRA","BR",76,"BRL","4123907","ChIJw8FlG5na6pQRBwUNWHwY7B4",NA,"BRPR4123907",NA,"BRA.16.332_1"
